countriesAndTerritories,Cont,Cont_Det,Pop
Gibraltar,EU,EU,33718
Greece,EU,EU,10727668
Greenland,EU,EU,56025
Grenada,SA,SA,111454
Guam,AS,EA,165768
Guatemala,SA,SA,17247807
Guernsey,EU,EU,63026
Guinea,AF,AF,12414318
Guinea_Bissau,AF,AF,1874309
Guyana,SA,SA,779004
Haiti,SA,SA,11123176
Holy_See,EU,EU,1000
Honduras,SA,SA,9587522
Hungary,EU,EU,9768785
Iceland,EU,EU,353574
India,AS,EA,1352617328
Indonesia,AS,EA,267663435
Iran,AS,ME,81800269
Iraq,AS,ME,38433600
Ireland,EU,EU,4853506
Isle_of_Man,EU,EU,84077
Israel,AS,ME,8883800
Italy,EU,EU,60431283
Jamaica,SA,SA,2934855
Japan,AS,EA,126529100
Jersey,EU,EU,106800
Jordan,AF,AF,9956011
Kazakhstan,AS,WA,18276499
Kenya,AF,AF,51393010
Kosovo,EU,EU,1845300
Kuwait,AS,ME,4137309
Kyrgyzstan,AS,WA,6315800
Laos,AS,EA,7061507
Latvia,EU,EU,1926542
Lebanon,AS,ME,6848925
Liberia,AF,AF,4818977
Libya,AF,AF,6678567
Liechtenstein,EU,EU,37910
Lithuania,EU,EU,2789533
Luxembourg,EU,EU,607728
Madagascar,AF,AF,26262368
Malaysia,AS,EA,31528585
Maldives,AS,EA,515696
Mali,AF,AF,19077690
Malta,EU,EU,483530
Mauritania,AF,AF,4403319
Mauritius,AF,AF,1265303
Mexico,SA,SA,126190788
Moldova,EU,EU,3545883
Monaco,EU,EU,38682
Mongolia,AS,WA,3170208
Montenegro,EU,EU,622345
Montserrat,SA,SA,5900
Morocco,AF,AF,36029138
Mozambique,AF,AF,29495962
Myanmar,AS,EA,53708395
Namibia,AF,AF,2448255
Nepal,AS,EA,28087871
Netherlands,EU,EU,17231017
New_Caledonia,AU,AU,284060
New_Zealand,AU,AU,4885500
Nicaragua,SA,SA,6465513
Niger,AF,AF,22442948
Nigeria,AF,AF,195874740
North_Macedonia,EU,EU,2082958
Norway,EU,EU,5314336
Oman,AF,AF,4829483
Pakistan,AS,WA,212215030
Palestine,AS,ME,4569087
Panama,SA,SA,4176873
Papua_New_Guinea,AU,AU,8606316
Paraguay,SA,SA,6956071
Peru,SA,SA,31989256
Philippines,AS,EA,106651922
Poland,EU,EU,37978548
Portugal,EU,EU,10281762
Puerto_Rico,SA,SA,3195153
Qatar,AS,ME,2781677
Romania,EU,EU,19473936
Russia,EU,EU,144478050
Rwanda,AF,AF,12301939
Saint_Kitts_and_Nevis,SA,SA,52441
Saint_Lucia,SA,SA,181889
Saint_Vincent_and_the_Grenadines,SA,SA,110210
San_Marino,EU,EU,33785
Saudi_Arabia,AS,ME,33699947
Senegal,AF,AF,15854360
Serbia,EU,EU,6982084
Seychelles,AF,AF,96762
Singapore,AS,EA,5638676
Sint_Maarten,SA,SA,41486
Slovakia,EU,EU,5447011
Slovenia,EU,EU,2067372
Somalia,AF,AF,15008154
South_Africa,AF,AF,57779622
South_Korea,AS,EA,51635256
Spain,EU,EU,46723749
Sri_Lanka,AS,EA,21670000
Sudan,AF,AF,41801533
Suriname,SA,SA,575991
Sweden,EU,EU,10183175
Switzerland,EU,EU,8516543
Syria,AS,ME,16906283
Taiwan,AS,EA,23780452
Thailand,AS,EA,69428524
Timor_Leste,AU,AU,1267972
Togo,AF,AF,7889094
Trinidad_and_Tobago,SA,SA,1389858
Tunisia,AF,AF,11565204
Turkey,AS,ME,82319724
Turks_and_Caicos_islands,SA,SA,31458
Uganda,AF,AF,42723139
Ukraine,EU,EU,44622516
United_Arab_Emirates,AS,ME,9630959
United_Kingdom,EU,EU,66488991
United_Republic_of_Tanzania,AF,AF,56318348
United_States_of_America,NA,NA,327167434
United_States_Virgin_Islands,SA,SA,106977
Uruguay,SA,SA,3449299
Uzbekistan,AS,WA,32955400
Venezuela,SA,SA,28870195
Vietnam,AS,EA,95540395
Zambia,AF,AF,17351822
Zimbabwe,AF,AF,14439018
